date,open,high,low,close,volume
4/22/2019 0:00,5.07,5.1,4.73,4.81,10146500
4/23/2019 0:00,4.82,4.82,4.63,4.69,9877000
4/24/2019 0:00,4.7,4.83,4.64,4.67,6521500
4/25/2019 0:00,4.68,4.81,4.65,4.79,3930500
4/26/2019 0:00,4.8,4.95,4.8,4.87,5730500
4/29/2019 0:00,4.95,5,4.75,4.83,10161000
4/30/2019 0:00,4.88,4.95,4.79,4.88,3210000
5/2/2019 0:00,4.93,4.97,4.75,4.76,1154000
5/3/2019 0:00,4.75,4.82,4.69,4.7,880000
5/6/2019 0:00,4.66,4.78,4.56,4.6,1681500
5/7/2019 0:00,4.64,4.75,4.42,4.45,10190000
5/8/2019 0:00,4.51,4.51,3.97,4.2,16775000
5/9/2019 0:00,4.2,4.3,4.1,4.19,3493000
5/10/2019 0:00,4.25,4.45,4.18,4.22,4827500
5/13/2019 0:00,4.36,4.4,3.95,3.98,9812000
5/14/2019 0:00,4.09,4.09,3.88,3.92,7094000
5/15/2019 0:00,3.99,4.24,3.97,4.22,9164500
5/16/2019 0:00,4.3,4.35,3.95,4,14604000
5/17/2019 0:00,4.01,4.06,3.54,3.67,15343500
5/20/2019 0:00,3.8,3.96,3.56,3.9,12322000
5/21/2019 0:00,3.89,4.1,3.84,4.04,9507000
5/22/2019 0:00,4.16,4.4,4.12,4.38,15749000
5/23/2019 0:00,4.49,4.55,4.24,4.32,15176000
5/24/2019 0:00,4.35,4.35,4.12,4.18,5662000
5/27/2019 0:00,4.25,4.25,4.08,4.13,3324000
5/28/2019 0:00,4.1,4.13,3.95,4.02,5839000
5/29/2019 0:00,4.05,4.21,4.05,4.18,8094000
5/30/2019 0:00,4.26,4.45,4.13,4.17,12093500
6/3/2019 0:00,4.15,4.22,4.05,4.09,3698000
6/10/2019 0:00,4.3,4.46,4.24,4.27,18529500
6/11/2019 0:00,4.3,4.46,4.27,4.34,9041000
6/12/2019 0:00,4.41,4.46,4.25,4.31,7488000
6/13/2019 0:00,4.31,4.5,4.25,4.46,8466000
6/14/2019 0:00,4.43,4.5,4.31,4.4,4025000
6/17/2019 0:00,4.44,4.48,4.23,4.27,3664500
6/18/2019 0:00,4.29,4.29,4.1,4.11,4829000
6/19/2019 0:00,4.18,4.18,4.05,4.12,2083000
6/20/2019 0:00,4.16,4.26,4.11,4.14,9325500
6/21/2019 0:00,4.14,4.27,4.13,4.25,12176000
6/24/2019 0:00,4.25,4.3,4.11,4.25,6399000
6/25/2019 0:00,4.2,4.28,4.1,4.21,21355500
6/26/2019 0:00,4.24,4.31,3.98,4.21,29658000
6/27/2019 0:00,4.15,4.33,4.05,4.19,24990500
6/28/2019 0:00,4.21,4.5,4.1,4.39,21309000
7/1/2019 0:00,4.4,4.45,4.32,4.34,580500
7/2/2019 0:00,4.4,4.5,4.3,4.38,13561500
7/3/2019 0:00,4.4,4.47,4.32,4.34,4109500
7/4/2019 0:00,4.45,4.45,4.24,4.29,8979500
7/5/2019 0:00,4.19,4.28,4.18,4.22,1225500
7/8/2019 0:00,4.2,4.28,3.98,4.01,7444500
7/9/2019 0:00,4.04,4.09,3.97,4.05,3793500
7/10/2019 0:00,4.05,4.13,4.04,4.1,1203500
7/11/2019 0:00,4.11,4.11,4.02,4.09,846500
7/12/2019 0:00,4.06,4.09,3.97,4,6894000
7/15/2019 0:00,4,4.03,3.8,3.81,4512000
7/16/2019 0:00,3.82,3.9,3.61,3.71,20303000
7/17/2019 0:00,3.8,3.84,3.66,3.71,3865000
7/18/2019 0:00,3.72,3.78,3.47,3.54,7348000
7/19/2019 0:00,3.55,3.7,3.48,3.64,11088000
7/22/2019 0:00,3.66,3.72,3.6,3.65,1344500
7/23/2019 0:00,3.73,3.8,3.6,3.73,2158500
7/24/2019 0:00,3.77,3.78,3.6,3.62,3520500
7/25/2019 0:00,3.64,3.64,3.53,3.58,3274000
7/26/2019 0:00,3.56,3.6,3.44,3.47,3867000
7/29/2019 0:00,3.53,3.54,3.25,3.32,6262500
7/30/2019 0:00,3.34,3.42,3.3,3.35,3147000
7/31/2019 0:00,3.4,3.5,3.31,3.47,4253500
8/1/2019 0:00,3.48,3.51,3.38,3.42,3010000
8/2/2019 0:00,3.35,3.47,3.35,3.44,599000
8/5/2019 0:00,3.43,3.43,3.26,3.29,2481000
8/6/2019 0:00,3.25,3.35,3.2,3.22,3115500
8/7/2019 0:00,3.17,3.27,3.13,3.15,4598000
8/8/2019 0:00,3.21,3.21,3,3.04,10321000
8/9/2019 0:00,3.05,3.1,3.04,3.05,2354000
8/16/2019 0:00,3.06,3.14,3,3.03,2251500
8/19/2019 0:00,3.03,3.22,3.03,3.16,1613000
8/20/2019 0:00,3.16,3.28,3.1,3.14,5846500
8/21/2019 0:00,3.14,3.4,3.09,3.32,4977500
8/22/2019 0:00,3.4,3.77,3.4,3.75,17928000
8/23/2019 0:00,3.76,3.76,3.52,3.56,5374500
8/26/2019 0:00,3.52,3.6,3.41,3.45,5354000
8/27/2019 0:00,3.45,3.57,3.36,3.55,4275500
8/28/2019 0:00,3.55,3.57,3.32,3.38,10005500
8/29/2019 0:00,3.4,3.43,3.17,3.22,5132500
8/30/2019 0:00,3.21,3.27,3.02,3.05,10088500
9/2/2019 0:00,3.12,3.3,3.1,3.25,3823500
9/3/2019 0:00,3.2,3.3,3.15,3.17,2204000
9/4/2019 0:00,3.2,3.32,3.15,3.29,2047000
9/5/2019 0:00,3.22,3.35,3.19,3.23,3248500
9/6/2019 0:00,3.2,3.28,3.18,3.24,122500
9/11/2019 0:00,3.26,3.3,3.16,3.26,1334000
9/12/2019 0:00,3.26,3.5,3.26,3.42,11772000
9/13/2019 0:00,3.42,3.47,3.36,3.37,3012000
9/16/2019 0:00,3.4,3.5,3.37,3.44,4759000
9/17/2019 0:00,3.42,3.62,3.4,3.56,6423500
9/18/2019 0:00,3.59,3.6,3.29,3.36,8274000
9/19/2019 0:00,3.36,3.46,3.3,3.4,7027000
9/20/2019 0:00,3.4,3.53,3.31,3.36,5398500
9/23/2019 0:00,3.34,3.38,3.2,3.24,3470000
